,Longitud,Latitud,slope,PP,valor_humedad_suelo1,n.100-200cm,theta_s.100-200cm,theta_r.100-200cm,ksat.100-200cm,alpha.100-200cm,SUBTIPO,SUBTIPO_DESC
1065,-71.6319692119999,-39.947224945,56.3183236829106,0.5987448557280004,0.3729705810546875,0.0270000007003545,0.032999999821186,0.0299999993294477,0.31700000166893,0.2899999916553497,3.0,Deslizamiento
1066,-71.63131601100001,-39.946672266,56.3183236829106,0.5987448557280004,0.3729705810546875,0.0260000005364418,0.0309999994933605,0.0289999991655349,0.3089999854564667,0.277999997138977,3.0,Deslizamiento
1067,-71.630330639,-39.9466135669999,56.3183236829106,0.5987448557280004,0.3729705810546875,0.0260000005364418,0.0299999993294477,0.0280000008642673,0.3059999942779541,0.2720000147819519,3.0,Deslizamiento
1068,-71.630015589,-39.945955285,56.3183236829106,0.5987448557280004,0.3729705810546875,0.0260000005364418,0.0299999993294477,0.0280000008642673,0.3039999902248382,0.2709999978542328,3.0,Deslizamiento
1069,-71.62852552399991,-39.9447087619999,56.3183236829106,0.5987448557280004,0.3729705810546875,0.0270000007003545,0.0320000015199184,0.0289999991655349,0.3109999895095825,0.2829999923706054,3.0,Deslizamiento
1070,-71.627169744,-39.9441449719999,56.3183236829106,0.5987448557280004,0.3729705810546875,0.0270000007003545,0.0320000015199184,0.0299999993294477,0.3140000104904175,0.2860000133514404,3.0,Deslizamiento
1071,-71.62603379800001,-39.9434081859999,56.3183236829106,0.5987448557280004,0.3729705810546875,0.0270000007003545,0.0320000015199184,0.0289999991655349,0.3100000023841858,0.2809999883174896,3.0,Deslizamiento
1072,-71.625248289,-39.943559173,56.3183236829106,0.5987448557280004,0.3729705810546875,0.0260000005364418,0.0299999993294477,0.0280000008642673,0.3030000030994415,0.2689999938011169,3.0,Deslizamiento
1073,-71.624815047,-39.943012043,56.3183236829106,0.5987448557280004,0.3729705810546875,0.0270000007003545,0.0320000015199184,0.0299999993294477,0.3129999935626984,0.2860000133514404,3.0,Deslizamiento
1074,-71.65594208600001,-39.964847311,52.96808061983711,0.5987448557280004,0.3729705810546875,0.0299999993294477,0.0419999994337558,0.0379999987781047,0.382999986410141,0.3409999907016754,3.0,Deslizamiento
1075,-71.67916805399992,-39.969329992,56.9563816755185,0.5987448557280004,0.3729705810546875,0.0270000007003545,0.0320000015199184,0.0299999993294477,0.3149999976158142,0.2870000004768371,3.0,Deslizamiento
1076,-71.67628709899999,-39.971297001,56.9563816755185,0.5987448557280004,0.3729705810546875,0.0270000007003545,0.0320000015199184,0.0299999993294477,0.3149999976158142,0.2870000004768371,3.0,Deslizamiento
1077,-71.683468127,-39.9851425159999,63.6837645425248,0.2448655265616253,0.3719329833984375,0.0260000005364418,0.0299999993294477,0.0280000008642673,0.3039999902248382,0.2689999938011169,3.0,Deslizamiento
1078,-71.69192494100001,-40.012444124,53.90026444728096,1.5259999986737969,0.3809814453125,0.0260000005364418,0.0289999991655349,0.0280000008642673,0.3039999902248382,0.2680000066757202,3.0,Deslizamiento
1079,-71.69024194799991,-40.024786816,49.93457708413813,1.5259999986737969,0.3809814453125,0.0289999991655349,0.0379999987781047,0.0340000018477439,0.3449999988079071,0.3199999928474426,3.0,Deslizamiento
1080,-71.6904379969999,-40.03720572,49.76589535201358,1.5259999986737969,0.3809814453125,0.0289999991655349,0.0379999987781047,0.0340000018477439,0.3479999899864197,0.3190000057220459,3.0,Deslizamiento
1081,-71.68890595100001,-40.041311821,49.76589535201358,1.5259999986737969,0.3809814453125,0.0270000007003545,0.0320000015199184,0.0299999993294477,0.3140000104904175,0.2870000004768371,3.0,Deslizamiento
1082,-71.689448466,-40.0436334039999,49.76589535201358,1.5259999986737969,0.3809814453125,0.0270000007003545,0.032999999821186,0.0299999993294477,0.31700000166893,0.2899999916553497,3.0,Deslizamiento
1083,-71.6860932709999,-40.0547420309999,50.10462258055743,1.5259999986737969,0.3809814453125,0.0280000008642673,0.0340000018477439,0.0309999994933605,0.3240000009536743,0.3000000119209289,3.0,Deslizamiento
1084,-71.684732008,-40.058137654999896,50.10462258055743,0.2448655265616253,0.3719329833984375,0.0299999993294477,0.0399999991059303,0.0359999984502792,0.3659999966621399,0.3310000002384186,3.0,Deslizamiento
1085,-71.68240686899999,-40.05684035,50.10462258055743,0.2448655265616253,0.3719329833984375,0.0299999993294477,0.0419999994337558,0.0370000004768371,0.3819999992847442,0.3370000123977661,3.0,Deslizamiento
1086,-71.677317772,-40.059597171,50.10462258055743,0.2448655265616253,0.3719329833984375,0.0289999991655349,0.0390000008046627,0.0350000001490116,0.3549999892711639,0.324999988079071,3.0,Deslizamiento
